Cementiri,Nom Cementiri,Recinte,Nom Recinte,Nom Recinte (Codi),Departament,Nom Departament,Nom Departament (Codi),Via / Illa / Zona,Nom Via / Illa / Zona / Mançana,Nom Via / Illa / Zona / Mançana (Codi),Agrupació,Nom Agrupació,Nom Agrupació (Codi)
1,COLLSEROLA,,,,,,,,,,,,
1,COLLSEROLA,,,,,,,,,,1,AGRUPACIÓ PRIMERA,AGRUPACIÓ PRIMERA (001)
1,COLLSEROLA,,,,,,,,,,2,AGRUPACIÓ SEGONA,AGRUPACIÓ SEGONA (002)
1,COLLSEROLA,,,,,,,,,,3,AGRUPACIÓ TERCERA,AGRUPACIÓ TERCERA (003)
1,COLLSEROLA,,,,,,,,,,4,AGRUPACIÓ QUARTA,AGRUPACIÓ QUARTA (004)
1,COLLSEROLA,,,,,,,,,,5,AGRUPACIÓ CINQUENA,AGRUPACIÓ CINQUENA (005)
1,COLLSEROLA,,,,,,,,,,6,AGRUPACIÓ SISENA,AGRUPACIÓ SISENA (006)
1,COLLSEROLA,,,,,,,,,,7,AGRUPACIÓ SETENA,AGRUPACIÓ SETENA (007)
1,COLLSEROLA,,,,,,,,,,8,AGRUPACIÓ VUITENA,AGRUPACIÓ VUITENA (008)
1,COLLSEROLA,,,,,,,,,,9,AGRUPACIÓ NOVENA,AGRUPACIÓ NOVENA (009)
1,COLLSEROLA,,,,,,,,,,10,AGRUPACIÓ DEZENA,AGRUPACIÓ DEZENA (010)
1,COLLSEROLA,,,,,,,,,,11,AGRUPACIÓ ONZENA,AGRUPACIÓ ONZENA (011)
1,COLLSEROLA,,,,,,,,,,12,AGRUPACIÓ DOTZENA,AGRUPACIÓ DOTZENA (012)
1,COLLSEROLA,,,,,,,,,,13,AGRUPACIÓ TRETZENA,AGRUPACIÓ TRETZENA (013)
1,COLLSEROLA,,,,,,,,,,14,AGRUPACIÓ CATORZENA,AGRUPACIÓ CATORZENA (014)
1,COLLSEROLA,,,,,,,,,,15,AGRUPACIÓ QUINZENA,AGRUPACIÓ QUINZENA (015)
1,COLLSEROLA,,,,,,,,,,16,AGRUPACIÓ SETZENA,AGRUPACIÓ SETZENA (016)
1,COLLSEROLA,,,,,,,,,,17,AGRUPACIÓ DISETENA,AGRUPACIÓ DISETENA (017)
1,COLLSEROLA,,,,,,,,,,18,AGRUPACIÓ DIVUITENA,AGRUPACIÓ DIVUITENA (018)
1,COLLSEROLA,A,COMUNITAT JUEVA ATID,COMUNITAT JUEVA ATID (A),1,DEPARTAMENT PRIMER,DEPARTAMENT PRIMER (01),10,VIA ST. CARLES,VIA ST. CARLES (010),16,AGRUPACIÓ SETZENA,AGRUPACIÓ SETZENA (016)
1,COLLSEROLA,B,BET SALOM,BET SALOM (B),,,,,,,,,
1,COLLSEROLA,H,RECINTE HEBREU,RECINTE HEBREU (H),,,,,,,,,
1,COLLSEROLA,I,RECINTE ISLAMIC,RECINTE ISLAMIC (I),,,,,,,16,AGRUPACIÓ SETZENA,AGRUPACIÓ SETZENA (016)
1,COLLSEROLA,I,RECINTE ISLAMIC,RECINTE ISLAMIC (I),,,,,,,19,AGRUPACIÓ DINOVENA,AGRUPACIÓ DINOVENA (019)
1,COLLSEROLA,S,BOSC DEL SILENCI,BOSC DEL SILENCI (S),,,,,,,12,AGRUPACIÓ DOTZENA,AGRUPACIÓ DOTZENA (012)
2,MONTJUÏC,,,,,,,,,,,,
2,MONTJUÏC,,,,,,,10,VIA ST. CARLES,VIA ST. CARLES (010),1,AGRUPACIÓ PRIMERA,AGRUPACIÓ PRIMERA (01)
2,MONTJUÏC,,,,,,,10,VIA ST. CARLES,VIA ST. CARLES (010),2,AGRUPACIÓ SEGONA,AGRUPACIÓ SEGONA (02)
2,MONTJUÏC,,,,,,,10,VIA ST. CARLES,VIA ST. CARLES (010),13,AGRUPACIÓ TRETZENA,AGRUPACIÓ TRETZENA (13)
2,MONTJUÏC,,,,,,,20,VIA ST. PERE,VIA ST. PERE (020),1,AGRUPACIÓ PRIMERA,AGRUPACIÓ PRIMERA (01)
2,MONTJUÏC,,,,,,,25,VIA ST. PAU,VIA ST. PAU (025),2,AGRUPACIÓ SEGONA,AGRUPACIÓ SEGONA (02)
2,MONTJUÏC,,,,,,,30,VIA STA. EULÀLIA,VIA STA. EULÀLIA (030),1,AGRUPACIÓ PRIMERA,AGRUPACIÓ PRIMERA (01)
2,MONTJUÏC,,,,,,,30,VIA STA. EULÀLIA,VIA STA. EULÀLIA (030),2,AGRUPACIÓ SEGONA,AGRUPACIÓ SEGONA (02)
2,MONTJUÏC,,,,,,,30,VIA STA. EULÀLIA,VIA STA. EULÀLIA (030),02I,AGRUPACIÓ SEGONA INTERIOR,AGRUPACIÓ SEGONA INTERIOR (02I)
2,MONTJUÏC,,,,,,,30,VIA STA. EULÀLIA,VIA STA. EULÀLIA (030),3,AGRUPACIÓ TERCERA,AGRUPACIÓ TERCERA (03)
2,MONTJUÏC,,,,,,,30,VIA STA. EULÀLIA,VIA STA. EULÀLIA (030),03I,AGRUPACIÓ TERCERA INT.,AGRUPACIÓ TERCERA INT. (03I)
2,MONTJUÏC,,,,,,,35,VIA ENLLAÇ EULÀLIA- JORDI,VIA ENLLAÇ EULÀLIA- JORDI (035),3,AGRUPACIÓ TERCERA,AGRUPACIÓ TERCERA (03)
2,MONTJUÏC,,,,,,,40,VIA ST. JOSEP,VIA ST. JOSEP (040),2,AGRUPACIÓ SEGONA,AGRUPACIÓ SEGONA (02)
2,MONTJUÏC,,,,,,,40,VIA ST. JOSEP,VIA ST. JOSEP (040),02I,AGRUPACIÓ SEGONA INTERIOR,AGRUPACIÓ SEGONA INTERIOR (02I)
